epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.48,1.14431,1.37689,1.12048,0.97544,0.9673,0.98882,0.72605,0.89596,0.58354,1.02386,0.00333136,0.00333136,0.00333136
2,598.771,0.95346,0.66468,1.0351,0.97981,0.98718,0.99127,0.75935,0.82041,0.507,0.9968,0.00600489,0.00600489,0.00600489
3,878.12,0.9354,0.57258,1.03516,0.9803,0.9696,0.99051,0.75229,0.85579,0.50353,1.02722,0.00801842,0.00801842,0.00801842
4,1158.98,0.9177,0.50803,1.03796,0.98857,0.99523,0.99346,0.80835,0.78437,0.40436,1.00377,0.00703,0.00703,0.00703
5,1438.25,0.89947,0.47177,1.03644,0.99264,0.99653,0.99411,0.81644,0.77254,0.38036,1.0054,0.00604,0.00604,0.00604
6,1718.74,0.89025,0.44798,1.03741,0.99389,0.99643,0.99419,0.82042,0.77045,0.35616,1.00888,0.00505,0.00505,0.00505
7,1996.82,0.88468,0.42831,1.04276,0.9957,0.99639,0.99433,0.82372,0.76861,0.34248,1.00876,0.00406,0.00406,0.00406
8,2273.94,0.87762,0.41431,1.04314,0.99595,0.997,0.99443,0.82655,0.76608,0.33362,1.0077,0.00307,0.00307,0.00307
9,2554.34,0.86988,0.40283,1.03931,0.99589,0.99715,0.99439,0.82809,0.76362,0.32989,1.00638,0.00208,0.00208,0.00208
10,2833.87,0.86159,0.39159,1.03614,0.99636,0.99739,0.99444,0.82877,0.76157,0.32816,1.00552,0.00109,0.00109,0.00109
